Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,DMA 50,DMA 200,Free cash flow last year,Price to Earning,Average return on capital employed 3Years,Market Capitalization,Operating cash flow 3years,Industry PE,Historical PE 3Years,Historical PE 5Years,Sales growth 5Years,Sales growth 3Years,Profit growth 5Years,Profit growth 3Years,OPM 5Year,OPM,OPM last year,EBIDT growth 3Years,Average return on equity 5Years,Average return on equity 3Years,Average return on capital employed 5Years,Debt to equity,Interest Coverage,Interest Coverage Ratio,Debt To Profit,Historical PE 7Years,Price to book value,Promoter holding,Change in promoter holding 3Years,EPS last year,EPS growth 3Years,Pledged percentage,Average dividend payout 3years,Dividend yield,Capital work in progress,Altman Z Score,Piotroski score,Down from 52w high,Up from 52w low
N S D L,544467,,INE301O01023,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",895.80,948.33,1021.71,483.65,48.04,22.57,17916.00,1178.67,46.09,65.85,65.85,34.22,23.11,21.33,16.68,27.45,29.17,26.44,17.54,17.93,17.36,23.62,0.01,81.51,81.51,0.06,65.85,8.27,0.00,,17.16,-31.77,0.00,9.15,0.22,7.66,9.24,8.00,37.14,4.89
Narayana Hrudaya,539551,NH,INE410P01011,Healthcare Services,Hospital,1690.00,1788.37,1780.68,-93.18,41.88,26.25,34573.49,3136.94,43.54,34.33,37.55,11.88,14.00,43.49,31.21,20.32,21.55,23.67,25.34,25.14,28.72,21.02,0.58,6.12,6.12,2.96,39.70,8.51,63.27,-0.58,38.66,31.21,0.00,10.14,0.27,134.58,9.49,5.00,28.74,22.46
PB Fintech.,543390,POLICYBZR,INE417T01026,Financial Technology (Fintech),Financial Technology (Fintech),1538.70,1560.23,1681.57,-279.62,122.88,-0.20,71201.72,-473.46,20.83,332.68,332.68,45.20,51.73,23.21,33.50,-13.67,6.47,1.89,38.33,-4.93,-0.61,-6.21,0.05,17.64,17.64,0.93,332.68,10.52,0.00,0.00,7.69,33.35,0.00,0.00,0.00,0.00,16.98,5.00,22.21,15.33
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,7374.50,7673.12,7244.80,852.91,42.26,29.40,110980.88,4532.29,19.11,47.81,44.61,20.47,22.45,20.93,29.35,12.80,14.33,13.23,31.82,20.73,21.61,26.42,0.02,18.54,18.54,0.11,40.55,10.48,61.50,-5.11,134.28,29.07,0.00,24.97,0.47,860.13,13.89,4.00,15.47,61.47
Power Grid Corpn,532898,POWERGRID,INE752E01010,Power,Power - Transmission,299.40,288.23,284.15,12112.02,17.95,12.87,278740.22,113715.66,17.95,17.06,12.13,3.94,3.23,9.33,2.77,86.22,82.29,84.81,3.00,18.49,18.11,12.34,1.37,3.27,3.27,8.76,10.97,2.81,51.34,0.00,16.69,2.77,0.00,62.61,3.01,43808.04,2.58,5.00,7.02,19.76
Radico Khaitan,532497,RADICO,INE944F01028,Beverages,Breweries & Distilleries,2709.70,2825.95,2833.68,189.48,68.43,13.67,36306.31,752.05,31.95,93.51,78.71,15.12,19.20,7.07,11.04,13.58,15.63,13.92,17.99,12.77,11.71,15.27,0.21,11.10,11.10,1.81,56.11,12.44,40.20,-0.07,25.80,11.00,0.00,16.93,0.15,70.16,15.04,7.00,26.67,27.09
Siemens Ener.Ind,544390,ENRIN,INE1NPP01017,Electrical Equipment,Heavy Electrical Equipment,2840.60,2776.11,2878.82,3454.10,82.87,38.99,101082.93,,32.95,79.95,79.95,,,,,,19.94,19.57,,,,38.99,0.03,53.76,53.76,0.13,79.95,23.09,75.00,,30.89,,0.00,,0.14,75.90,19.56,7.00,21.64,34.94
TVS Motor Co.,532343,TVSMOTOR,INE494B01023,Automobiles,2/3 Wheelers,3572.80,3686.83,3404.12,1043.86,58.11,14.38,169486.74,-2154.56,28.99,61.12,52.44,18.52,21.87,27.31,40.56,13.25,15.38,14.91,32.87,24.55,27.22,12.99,3.89,3.06,3.06,13.27,49.07,20.91,50.27,0.00,47.06,40.56,0.00,20.56,0.28,700.59,6.93,8.00,10.01,60.86
UltraTech Cem.,532538,ULTRACEMCO,INE481G01011,Cement & Cement Products,Cement & Cement Products,11247.00,12126.08,12014.13,1722.80,42.67,12.97,331486.80,30639.48,28.29,47.71,44.10,12.35,13.03,1.36,-5.37,19.35,18.67,16.85,3.84,11.68,10.35,13.60,0.35,6.48,6.48,4.17,36.65,4.60,59.29,-0.67,204.94,-6.02,0.00,29.44,0.69,7205.57,5.42,3.00,14.21,6.37
Zydus Lifesci.,532321,ZYDUSLIFE,INE010B01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,899.60,908.89,935.36,5115.50,17.72,20.53,90510.64,12693.40,27.73,22.58,21.91,10.27,15.04,26.54,2.06,25.43,30.84,30.37,26.92,20.74,18.79,17.70,0.38,18.76,18.76,2.06,21.89,3.58,75.00,0.02,44.97,2.65,0.00,21.08,1.22,1190.10,5.14,7.00,15.06,13.16
